V_R,Scala V,Delta t,Frequency,Scala T
0.002,0.0001,0.248,1,0.04
0.0062,0.0001,0.082,3.01995172,0.02
0.0215,0.0005,0.0236,10.47128548,0.004
0.043,0.001,0.0116,20.89296131,0.002
0.075,0.001,0.0064,36.30780548,0.002
0.17,0.005,0.0026,83.17637711,0.0004
0.22,0.005,0.00188,109.6478196,0.0004
0.25,0.005,0.00156,125.8925412,0.0004
0.29,0.005,0.00132,144.5439771,0.0004
0.325,0.005,0.0011,165.9586907,0.0002
0.37,0.005,0.00092,190.5460718,0.0002
0.42,0.01,0.00074,218.7761624,0.0002
0.46,0.01,0.0006,251.1886432,0.0002
0.52,0.01,0.00048,288.4031503,0.00008
0.56,0.01,0.000376,331.1311215,0.00008
0.62,0.01,0.000288,380.1893963,0.00004
0.67,0.01,0.000216,436.5158322,0.00004
0.71,0.01,0.000152,501.1872336,0.00004
0.74,0.02,0.000102,575.4399373,0.00002
0.78,0.02,0.00006,660.693448,0.00002
0.8,0.02,0.0000268,758.577575,0.000008
0.82,0.02,0.00000096,870.96359,0.000002
0.8,0.02,-0.0000188,1000,0.000004
0.78,0.02,-0.0000328,1148.153621,0.000008
0.76,0.02,-0.0000432,1318.256739,0.000008
0.72,0.02,-0.0000488,1513.561248,0.000008
0.68,0.02,-0.0000528,1737.800829,0.000008
0.62,0.01,-0.0000544,1995.262315,0.000008
0.57,0.01,-0.0000536,2290.867653,0.000008
0.52,0.01,-0.000052,2630.267992,0.000008
0.42,0.01,-0.0000464,3467.368505,0.000008
0.37,0.005,-0.0000432,3981.071706,0.000008
0.33,0.005,-0.00004,4570.881896,0.000008
0.29,0.005,-0.0000368,5248.074602,0.000008
0.255,0.005,-0.0000328,6025.595861,0.000008
0.195,0.005,-0.0000264,7943.282347,0.000004
0.15,0.002,-0.0000212,10471.28548,0.000004
0.114,0.002,-0.0000164,13803.84265,0.000004
0.076,0.001,-0.0000112,20892.96131,0.000002
0.038,0.0005,-0.00000584,41686.93835,0.0000008
0.022,0.0005,-0.0000034,72443.59601,0.0000008
0.0144,0.0002,-0.00000226,109647.8196,0.0000004
0.0032,0.0001,-0.000000496,501187.2336,0.00000008
0.0016,0.0001,-0.00000025,1000000,0.00000004