Frequency,V_R,Scala V,Delta t,Scala T
1,0.002,0.001,0.248,0.04
3.01995172,0.0062,0.001,0.082,0.02
10.47128548,0.0215,0.005,0.0236,0.004
20.89296131,0.043,0.01,0.0116,0.002
36.30780548,0.075,0.01,0.0066,0.002
83.17637711,0.17,0.05,0.00268,0.0004
109.6478196,0.225,0.05,0.00196,0.0004
125.8925412,0.26,0.05,0.00164,0.0004
144.5439771,0.295,0.05,0.0014,0.0004
165.9586907,0.335,0.05,0.00116,0.0002
190.5460718,0.38,0.05,0.00098,0.0002
218.7761624,0.44,0.1,0.00082,0.0002
251.1886432,0.49,0.1,0.00066,0.0002
288.4031503,0.56,0.1,0.000544,0.00008
331.1311215,0.62,0.1,0.000432,0.00008
380.1893963,0.7,0.1,0.000336,0.00008
436.5158322,0.77,0.1,0.000252,0.00004
501.1872336,0.84,0.2,0.000184,0.00004
575.4399373,0.9,0.2,0.000124,0.00002
660.693448,0.94,0.2,0.000074,0.00002
758.577575,0.98,0.2,0.0000332,0.000008
870.96359,1,0.2,1.20E-06,0.000002
1000,0.98,0.2,-0.0000232,0.000004
1148.153621,0.96,0.2,-0.0000408,0.000008
1318.256739,0.9,0.2,-0.000052,0.000008
1513.561248,0.84,0.2,-0.0000596,0.000008
1737.800829,0.76,0.2,-0.0000624,0.000008
1995.262315,0.7,0.1,-0.0000632,0.000008
2290.867653,0.63,0.1,-0.0000616,0.000008
2630.267992,0.56,0.1,-0.0000592,0.000008
3019.95172,0.5,0.1,-0.0000552,0.000008
3467.368505,0.44,0.1,-0.0000512,0.000008
3981.071706,0.39,0.05,-0.0000472,0.000008
4570.881896,0.34,0.05,-0.0000424,0.000008
5248.074602,0.3,0.05,-0.0000384,0.000008
6025.595861,0.26,0.05,-0.0000344,0.000008
7943.282347,0.195,0.05,-0.0000276,0.000004
10471.28548,0.15,0.02,-0.0000216,0.000004
13803.84265,0.114,0.02,-0.0000168,0.000004
20892.96131,0.076,0.01,-0.0000114,0.000002
41686.93835,0.038,0.005,-5.84E-06,0.0000008
72443.59601,0.022,0.005,-0.00000344,0.0000008
109647.8196,0.0144,0.002,-2.24E-06,0.0000004
501187.2336,0.0032,0.001,-4.96E-07,0.00000008
1000000,0.0016,0.001,-2.48E-07,0.00000004